| THETA | 0.143 | GO      | 896.0  | 1251.4   | 128.9  | 71.28    | 9.277   | 3.283    | 5.993 | 34.81 | 0.566 | 17.98 | 0.000 | 14.50 | 23.64  | 56.12 |
| THETA | 0.149 | GO      | 896.0  | 3025.8   | 134.2  | 89.39    | 10.06   | 3.818    | 6.246 | 41.06 | 0.252 | 18.73 | 0.000 | 6.468 | 24.62  | 49.83 |
| THETA | 0.160 | GO      | 896.0  | 783.7    | 143.9  | 97.79    | 11.55   | 4.866    | 6.689 | 47.75 | 0.442 | 20.06 | 0.000 | 11.33 | 26.38  | 57.79 |
| THETA | 0.171 | GO      | 896.0  | 947.1    | 153.4  | 107.9    | 13.14   | 6.020    | 7.125 | 54.87 | 0.435 | 21.37 | 0.000 | 11.15 | 28.14  | 60.67 |
| THETA | 0.182 | GO      | 896.0  | 1071.2   | 163.0  | 119.4    | 14.84   | 7.300    | 7.542 | 62.42 | 0.416 | 22.62 | 0.000 | 10.67 | 29.90  | 63.20 |
| THETA | 0.192 | GO      | 896.0  | 1371.3   | 172.6  | 134.0    | 16.63   | 8.732    | 7.903 | 70.32 | 0.361 | 23.71 | 0.000 | 9.252 | 31.65  | 64.62 |
| THETA | 0.203 | GO      | 896.0  | 1271.8   | 182.2  | 147.6    | 18.53   | 10.31    | 8.222 | 78.54 | 0.319 | 24.66 | 0.000 | 8.171 | 33.42  | 66.25 |
| THETA | 0.209 | GO      | 896.0  | 421.5    | 187.9  | 150.3    | 19.71   | 11.27    | 8.443 | 86.99 | 0.221 | 25.33 | 0.000 | 5.664 | 34.46  | 65.46 |
| THETA | 0.220 | GO      | 896.0  | 2481.1   | 197.5  | 176.8    | 21.77   | 13.15    | 8.613 | 95.60 | 0.169 | 25.84 | 0.000 | 4.346 | 36.21  | 66.40 |
| THETA | 0.231 | GO      | 896.0  | 640.3    | 207.0  | 183.6    | 23.93   | 15.12    | 8.813 | 104.4 | 0.199 | 26.43 | 0.000 | 5.103 | 37.97  | 69.51 |
| THETA | 0.241 | GO      | 896.0  | 1403.4   | 216.7  | 198.7    | 26.20   | 17.25    | 8.954 | 113.3 | 0.141 | 26.86 | 0.000 | 3.621 | 39.73  | 70.21 |
| THETA | 0.252 | GO      | 896.0  | 656.6    | 226.6  | 205.9    | 28.65   | 19.53    | 9.128 | 122.4 | 0.173 | 27.38 | 0.000 | 4.447 | 41.55  | 73.38 |
| THETA | 0.264 | GO      | 896.0  | 1694.7   | 236.5  | 224.7    | 31.22   | 22.01    | 9.204 | 131.7 | 0.075 | 27.61 | 0.000 | 1.940 | 43.37  | 72.92 |
| THETA | 0.270 | GO      | 896.0  | 1767.3   | 242.2  | 235.9    | 32.74   | 23.51    | 9.225 | 140.9 | 0.021 | 27.67 | 0.000 | 0.559 | 44.41  | 72.64 |
| THETA | 0.281 | GO      | 896.0  | 897.6    | 252.1  | 245.8    | 35.47   | 26.23    | 9.240 | 150.1 | 0.014 | 27.72 | 0.000 | 0.370 | 46.23  | 74.32 |
| THETA | 0.292 | GO      | 896.0  | 943.3    | 262.0  | 256.3    | 38.33   | 29.08    | 9.248 | 159.4 | 0.008 | 27.74 | 0.000 | 0.218 | 48.05  | 76.02 |
| THETA | 0.303 | GO      | 896.0  | 1255.1   | 272.0  | 270.2    | 41.28   | 32.07    | 9.213 | 168.6 | -0.035| 27.64 | 0.000 | -0.905| 49.87  | 76.61 |
| THETA | 0.309 | GO      | 896.0  | 2022.6   | 277.7  | 283.1    | 43.03   | 33.87    | 9.160 | 177.7 | -0.052| 27.48 | 0.000 | -1.346| 50.92  | 77.05 |
| THETA | 0.321 | GO      | 896.0  | 1057.3   | 287.6  | 294.8    | 46.16   | 37.14    | 9.026 | 186.8 | -0.134| 27.07 | 0.000 | -3.445| 52.74  | 76.37 |
| THETA | 0.332 | GO      | 896.0  | 1246.7   | 297.5  | 308.6    | 49.40   | 40.56    | 8.848 | 195.6 | -0.177| 26.54 | 0.000 | -4.546| 54.55  | 76.55 |
| THETA | 0.343 | GO      | 896.0  | 740.3    | 307.4  | 316.8    | 52.75   | 44.06    | 8.690 | 204.3 | -0.158| 26.07 | 0.000 | -4.057| 56.37  | 78.39 |
| THETA | 0.349 | GO      | 896.0  | 1125.3   | 313.1  | 324.0    | 54.73   | 46.13    | 8.603 | 212.9 | -0.087| 25.80 | 0.000 | -2.228| 57.42  | 81.00 |
| THETA | 0.360 | GO      | 896.0  | 757.8    | 323.0  | 332.3    | 58.23   | 49.78    | 8.446 | 221.4 | -0.156| 25.33 | 0.000 | -4.009| 59.23  | 80.56 |
| THETA | 0.371 | GO      | 896.0  | 235.5    | 332.9  | 334.9    | 61.86   | 53.49    | 8.369 | 229.7 | -0.076| 25.10 | 0.000 | -1.967| 61.05  | 84.19 |
| THETA | 0.382 | GO      | 896.0  | 974.0    | 342.8  | 345.7    | 65.60   | 57.32    | 8.283 | 238.0 | -0.086| 24.84 | 0.000 | -2.212| 62.87  | 85.50 |
| THETA | 0.393 | GO      | 896.0  | 1129.7   | 352.8  | 358.2    | 69.46   | 61.29    | 8.168 | 246.2 | -0.115| 24.50 | 0.000 | -2.946| 64.69  | 86.24 |
| THETA | 0.400 | GO      | 896.0  | 1571.4   | 358.5  | 368.2    | 71.72   | 63.63    | 8.087 | 254.3 | -0.080| 24.26 | 0.000 | -2.052| 65.73  | 87.94 |
| THETA | 0.411 | GO      | 896.0  | 1538.8   | 368.4  | 385.2    | 75.73   | 67.89    | 7.847 | 262.1 | -0.240| 23.54 | 0.000 | -6.155| 67.55  | 84.93 |
| THETA | 0.422 | GO      | 896.0  | 639.6    | 378.3  | 392.3    | 79.87   | 72.23    | 7.637 | 269.8 | -0.209| 22.91 | 0.000 | -5.372| 69.36  | 86.91 |
| THETA | 0.433 | GO      | 896.0  | 188.6    | 388.2  | 394.4    | 84.12   | 76.61    | 7.514 | 277.3 | -0.123| 22.54 | 0.000 | -3.159| 71.19  | 90.57 |
| THETA | 0.439 | GO      | 896.0  | 922.5    | 393.9  | 400.2    | 86.60   | 79.15    | 7.456 | 284.7 | -0.057| 22.36 | 0.000 | -1.483| 72.23  | 93.12 |
| THETA | 0.450 | GO      | 896.0  | 841.3    | 403.8  | 409.5    | 91.02   | 83.68    | 7.338 | 292.1 | -0.118| 22.01 | 0.000 | -3.022| 74.05  | 93.04 |
| THETA | 0.461 | GO      | 896.0  | 1246.5   | 413.7  | 423.3    | 95.55   | 88.37    | 7.177 | 299.2 | -0.161| 21.53 | 0.000 | -4.122| 75.87  | 93.28 |
| THETA | 0.472 | GO      | 896.0  | 623.4    | 423.7  | 430.2    | 100.1   | 93.13    | 7.049 | 306.3 | -0.127| 21.14 | 0.000 | -3.266| 77.69  | 95.57 |
| THETA | 0.483 | GO      | 896.0  | 1344.2   | 433.6  | 445.1    | 104.9   | 98.06    | 6.867 | 313.2 | -0.182| 20.60 | 0.000 | -4.673| 79.51  | 95.43 |
| THETA | 0.490 | GO      | 896.0  | 1642.7   | 439.3  | 455.6    | 107.7   | 100.9    | 6.745 | 319.9 | -0.121| 20.23 | 0.000 | -3.119| 80.55  | 97.67 |
| THETA | 0.501 | GO      | 896.0  | 379.8    | 449.2  | 459.8    | 112.6   | 106.0    | 6.573 | 326.5 | -0.171| 19.71 | 0.000 | -4.401| 82.37  | 97.69 |
| THETA | 0.512 | GO      | 896.0  | 389.3    | 459.1  | 464.1    | 117.6   | 111.1    | 6.463 | 332.9 | -0.109| 19.39 | 0.000 | -2.811| 84.19  | 100.7 |
| THETA | 0.523 | GO      | 896.0  | 915.7    | 469.1  | 474.2    | 122.7   | 116.4    | 6.351 | 339.3 | -0.112| 19.05 | 0.000 | -2.873| 86.01  | 102.1 |
| THETA | 0.529 | GO      | 896.0  | 1664.3   | 474.8  | 484.8    | 125.8   | 119.5    | 6.268 | 345.6 | -0.082| 18.80 | 0.000 | -2.106| 87.06  | 103.7 |
| THETA | 0.540 | GO      | 896.0  | 1049.0   | 484.7  | 496.4    | 131.1   | 125.0    | 6.083 | 351.6 | -0.185| 18.25 | 0.000 | -4.740| 88.87  | 102.3 |
| THETA | 0.552 | GO      | 896.0  | 662.4    | 494.6  | 503.8    | 136.5   | 130.6    | 5.927 | 357.6 | -0.156| 17.78 | 0.000 | -4.007| 90.69  | 104.4 |
| THETA | 0.563 | GO      | 896.0  | 156.1    | 504.5  | 505.5    | 142.0   | 136.2    | 5.861 | 363.4 | -0.065| 17.58 | 0.000 | -1.685| 92.51  | 108.4 |
| THETA | 0.569 | GO      | 896.0  | 1050.3   | 510.2  | 512.2    | 145.3   | 139.4    | 5.830 | 369.3 | -0.030| 17.49 | 0.000 | -0.785| 93.56  | 110.2 |
| THETA | 0.580 | GO      | 896.0  | 1207.3   | 520.1  | 525.6    | 151.0   | 145.2    | 5.715 | 375.0 | -0.114| 17.14 | 0.000 | -2.941| 95.38  | 109.5 |
| THETA | 0.591 | GO      | 896.0  | 1129.9   | 530.1  | 538.1    | 156.8   | 151.2    | 5.572 | 380.5 | -0.143| 16.71 | 0.000 | -3.674| 97.20  | 110.2 |
| THETA | 0.602 | GO      | 896.0  | 174.8    | 540.0  | 540.0    | 162.7   | 157.2    | 5.517 | 386.1 | -0.055| 16.55 | 0.000 | -1.412| 99.02  | 114.1 |
| THETA | 0.609 | GO      | 896.0  | 2111.0   | 545.7  | 553.5    | 166.2   | 160.7    | 5.449 | 391.5 | -0.067| 16.34 | 0.000 | -1.729| 100.0  | 114.6 |
| THETA | 0.620 | GO      | 896.0  | 792.6    | 555.6  | 562.2    | 172.3   | 166.9    | 5.321 | 396.8 | -0.128| 15.96 | 0.000 | -3.280| 101.8  | 114.5 |
| THETA | 0.631 | GO      | 896.0  | 798.3    | 565.5  | 571.1    | 178.5   | 173.3    | 5.205 | 402.0 | -0.116| 15.61 | 0.000 | -2.974| 103.7  | 116.3 |
| THETA | 0.642 | GO      | 896.0  | 526.2    | 575.5  | 576.9    | 184.8   | 179.6    | 5.134 | 407.2 | -0.070| 15.40 | 0.000 | -1.813| 105.5  | 119.1 |
| THETA | 0.653 | GO      | 896.0  | 545.4    | 585.4  | 582.9    | 191.2   | 186.1    | 5.106 | 412.3 | -0.027| 15.31 | 0.000 | -0.713| 107.3  | 121.9 |
| THETA | 0.659 | GO      | 896.0  | -1509.4  | 591.1  | 573.3    | 194.9   | 189.7    | 5.201 | 417.5 | 0.094 | 15.60 | 0.000 | 2.430 | 108.3  | 126.4 |
| THETA | 0.670 | GO      | 896.0  | 1725.4   | 601.0  | 592.4    | 201.5   | 196.3    | 5.241 | 422.7 | 0.040 | 15.72 | 0.000 | 1.025 | 110.2  | 126.9 |
| THETA | 0.681 | GO      | 896.0  | 1655.5   | 610.9  | 610.8    | 208.3   | 203.1    | 5.188 | 427.9 | -0.053| 15.56 | 0.000 | -1.358| 112.0  | 126.2 |
| THETA | 0.692 | GO      | 896.0  | 2064.6   | 620.8  | 633.6    | 215.1   | 210.1    | 4.992 | 432.9 | -0.196| 14.97 | 0.000 | -5.026| 113.8  | 123.7 |
| THETA | 0.699 | GO      | 896.0  | 2840.3   | 626.5  | 651.7    | 219.0   | 214.2    | 4.813 | 437.7 | -0.178| 14.44 | 0.000 | -4.565| 114.8  | 124.7 |
| THETA | 0.710 | GO      | 896.0  | -74.92   | 636.5  | 650.9    | 226.0   | 221.4    | 4.599 | 442.3 | -0.214| 13.79 | 0.000 | -5.489| 116.7  | 125.0 |
| THETA | 0.721 | GO      | 896.0  | -266.0   | 646.4  | 647.9    | 233.2   | 228.6    | 4.527 | 446.8 | -0.071| 13.58 | 0.000 | -1.840| 118.5  | 130.2 |
| THETA | 0.732 | GO      | 896.0  | 1201.4   | 656.3  | 661.2    | 240.4   | 236.0    | 4.418 | 451.3 | -0.108| 13.25 | 0.000 | -2.790| 120.3  | 130.8 |
| THETA | 0.738 | GO      | 896.0  | 154.3    | 662.0  | 662.2    | 244.6   | 240.2    | 4.399 | 455.7 | -0.019| 13.19 | 0.000 | -0.491| 121.4  | 134.1 |
| THETA | 0.750 | GO      | 896.0  | 106.2    | 672.0  | 663.4    | 252.0   | 247.5    | 4.439 | 460.1 | 0.040 | 13.31 | 0.000 | 1.027 | 123.2  | 137.5 |
| THETA | 0.761 | GO      | -896.0 | 1609.2   | 672.6  | 681.2    | 259.5   | 255.1    | 4.367 | 464.5 | -0.072| 13.10 | 0.000 | -1.844| 123.3  | 134.5 |
| THETA | 0.772 | GO      | -896.0 | 2005.6   | 662.6  | 703.6    | 266.9   | 262.9    | 3.964 | 468.4 | -0.402| 11.89 | 0.000 | -10.30| 121.5  | 123.0 |
| THETA | 0.783 | GO      | -896.0 | 468.1    | 652.6  | 708.9    | 274.3   | 270.9    | 3.390 | 471.8 | -0.574| 10.17 | 0.000 | -14.71| 119.6  | 115.1 |
| THETA | 0.789 | GO      | -896.0 | 423.4    | 646.7  | 711.6    | 278.5   | 275.5    | 2.987 | 474.8 | -0.402| 8.962 | 0.000 | -10.30| 118.5  | 117.2 |
| THETA | 0.801 | GO      | -896.0 | 191.7    | 636.7  | 713.8    | 285.7   | 283.5    | 2.180 | 477.0 | -0.807| 6.541 | 0.000 | -20.66| 116.7  | 102.6 |
| THETA | 0.812 | GO      | -896.0 | -123.1   | 626.7  | 712.4    | 292.7   | 291.5    | 1.279 | 478.3 | -0.901| 3.837 | 0.000 | -23.07| 114.9  | 95.68 |
| THETA | 0.818 | GO      | -896.0 | -2948.0  | 620.9  | 693.3    | 296.8   | 296.0    | 0.827 | 479.1 | -0.451| 2.483 | 0.000 | -11.55| 113.8  | 104.7 |
| THETA | 0.830 | GO      | -896.0 | -123.0   | 610.9  | 691.9    | 303.7   | 303.7    | -0.020| 479.1 | -0.848| -0.062| 0.000 | -21.72| 112.0  | 90.22 |
| THETA | 0.841 | GO      | -896.0 | -843.1   | 600.8  | 682.4    | 310.5   | 311.3    | -0.878| 478.2 | -0.857| -2.636| 0.000 | -21.95| 110.1  | 85.58 |
| THETA | 0.852 | GO      | -896.0 | -1312.9  | 590.8  | 667.7    | 317.1   | 318.8    | -1.684| 476.5 | -0.805| -5.052| 0.000 | -20.61| 108.3  | 82.66 |
| THETA | 0.858 | GO      | -896.0 | -1693.6  | 585.0  | 656.8    | 320.9   | 323.1    | -2.129| 474.4 | -0.445| -6.388| 0.000 | -11.39| 107.2  | 89.48 |
| THETA | 0.870 | GO      | -896.0 | -469.8   | 575.0  | 651.5    | 327.4   | 330.4    | -2.930| 471.5 | -0.801| -8.791| 0.000 | -20.50| 105.4  | 76.13 |
| THETA | 0.881 | GO      | -896.0 | -1199.3  | 564.9  | 638.1    | 333.8   | 337.5    | -3.693| 467.8 | -0.763| -11.08| 0.000 | -19.53| 103.5  | 72.97 |
| THETA | 0.892 | GO      | -896.0 | -774.0   | 554.9  | 629.5    | 340.1   | 344.5    | -4.470| 463.3 | -0.776| -13.41| 0.000 | -19.87| 101.7  | 68.47 |
| THETA | 0.898 | GO      | -896.0 | -2173.9  | 549.1  | 615.3    | 343.7   | 348.5    | -4.881| 458.4 | -0.411| -14.64| 0.000 | -10.52| 100.6  | 75.52 |
| THETA | 0.910 | GO      | -896.0 | -573.7   | 539.1  | 608.9    | 349.7   | 355.3    | -5.604| 452.8 | -0.723| -16.81| 0.000 | -18.52| 98.86  | 63.51 |
| THETA | 0.921 | GO      | -896.0 | -709.5   | 529.1  | 601.0    | 355.7   | 362.0    | -6.349| 446.5 | -0.744| -19.04| 0.000 | -19.07| 97.03  | 58.91 |
| THETA | 0.932 | GO      | -896.0 | -2857.3  | 519.1  | 569.0    | 361.5   | 368.4    | -6.852| 439.6 | -0.502| -20.55| 0.000 | -12.87| 95.19  | 61.75 |
| THETA | 0.938 | GO      | -896.0 | -1188.9  | 513.3  | 561.3    | 364.9   | 372.0    | -7.145| 432.5 | -0.293| -21.43| 0.000 | -7.501| 94.12  | 65.18 |
| THETA | 0.950 | GO      | -896.0 | -662.9   | 503.3  | 553.9    | 370.5   | 378.2    | -7.652| 424.8 | -0.506| -22.95| 0.000 | -12.96| 92.29  | 56.37 |
| THETA | 0.961 | GO      | -896.0 | -3735.8  | 493.3  | 512.1    | 376.1   | 383.9    | -7.806| 417.0 | -0.154| -23.42| 0.000 | -3.951| 90.45  | 63.08 |
| THETA | 0.972 | GO      | -896.0 | -1999.0  | 483.3  | 489.7    | 381.6   | 389.4    | -7.822| 409.2 | -0.015| -23.46| 0.000 | -0.409| 88.61  | 64.74 |
| THETA | 0.978 | GO      | -896.0 | -612.2   | 477.5  | 485.7    | 384.7   | 392.6    | -7.857| 401.3 | -0.034| -23.57| 0.000 | -0.889| 87.55  | 63.09 |
| THETA | 0.990 | GO      | -896.0 | 162.8    | 467.4  | 487.6    | 390.0   | 398.0    | -8.026| 393.3 | -0.169| -24.08| 0.000 | -4.335| 85.71  | 57.30 |
| THETA | 1.001 | GO      | -896.0 | -666.1   | 457.4  | 480.1    | 395.2   | 403.4    | -8.225| 385.1 | -0.198| -24.67| 0.000 | -5.072| 83.87  | 54.12 |
| THETA | 1.012 | GO      | -896.0 | -1370.5  | 447.4  | 464.8    | 400.2   | 408.6    | -8.363| 376.7 | -0.138| -25.09| 0.000 | -3.547| 82.04  | 53.40 |
| THETA | 1.018 | GO      | -896.0 | -4217.5  | 441.6  | 437.4    | 403.1   | 411.4    | -8.317| 368.4 | 0.045 | -24.95| 0.000 | 1.175 | 80.97  | 57.19 |
| THETA | 1.030 | GO      | -896.0 | -1422.3  | 431.5  | 421.5    | 408.0   | 416.2    | -8.148| 360.2 | 0.168 | -24.44| 0.000 | 4.323 | 79.13  | 59.01 |
| THETA | 1.041 | GO      | -896.0 | -332.5   | 421.5  | 417.8    | 412.8   | 420.8    | -8.050| 352.2 | 0.097 | -24.15| 0.000 | 2.507 | 77.30  | 55.65 |
| THETA | 1.052 | GO      | -896.0 | -276.8   | 411.6  | 414.7    | 417.4   | 425.4    | -8.030| 344.2 | 0.020 | -24.09| 0.000 | 0.530 | 75.47  | 51.91 |
| THETA | 1.058 | GO      | -896.0 | -3236.1  | 405.7  | 393.7    | 420.1   | 428.0    | -7.932| 336.2 | 0.097 | -23.79| 0.000 | 2.492 | 74.40  | 53.09 |
| THETA | 1.070 | GO      | -896.0 | -311.4   | 395.7  | 390.2    | 424.5   | 432.4    | -7.815| 328.4 | 0.117 | -23.44| 0.000 | 3.015 | 72.56  | 52.13 |
| THETA | 1.081 | GO      | -896.0 | -937.0   | 385.7  | 379.7    | 428.9   | 436.6    | -7.691| 320.7 | 0.123 | -23.07| 0.000 | 3.160 | 70.72  | 50.81 |
| THETA | 1.092 | GO      | -896.0 | -1199.4  | 375.7  | 366.3    | 433.2   | 440.7    | -7.530| 313.2 | 0.161 | -22.59| 0.000 | 4.134 | 68.88  | 50.43 |
| THETA | 1.099 | GO      | -896.0 | -315.1   | 369.9  | 364.2    | 435.6   | 443.1    | -7.474| 305.7 | 0.055 | -22.42| 0.000 | 1.414 | 67.82  | 46.81 |
| THETA | 1.110 | GO      | -896.0 | -579.9   | 359.8  | 357.7    | 439.7   | 447.1    | -7.395| 298.3 | 0.079 | -22.18| 0.000 | 2.042 | 65.98  | 45.84 |
| THETA | 1.121 | GO      | -896.0 | -1008.3  | 349.8  | 346.4    | 443.7   | 451.0    | -7.301| 291.0 | 0.093 | -21.90| 0.000 | 2.403 | 64.14  | 44.64 |
| THETA | 1.132 | GO      | -896.0 | -773.2   | 339.8  | 337.8    | 447.5   | 454.7    | -7.223| 283.8 | 0.078 | -21.66| 0.000 | 2.000 | 62.31  | 42.64 |
| THETA | 1.139 | GO      | -896.0 | -1075.1  | 334.0  | 330.8    | 449.7   | 456.9    | -7.183| 276.6 | 0.039 | -21.55| 0.000 | 1.009 | 61.24  | 40.70 |
| THETA | 1.150 | GO      | -896.0 | -1080.6  | 323.9  | 318.7    | 453.4   | 460.4    | -7.068| 269.5 | 0.114 | -21.20| 0.000 | 2.936 | 59.40  | 41.13 |
| THETA | 1.161 | GO      | -896.0 | -1161.1  | 313.9  | 305.7    | 456.9   | 463.9    | -6.920| 262.6 | 0.148 | -20.76| 0.000 | 3.789 | 57.56  | 40.59 |
| THETA | 1.172 | GO      | -896.0 | -685.3   | 303.9  | 298.0    | 460.4   | 467.2    | -6.799| 255.8 | 0.121 | -20.39| 0.000 | 3.111 | 55.72  | 38.43 |
| THETA | 1.179 | GO      | -896.0 | -734.4   | 298.1  | 293.3    | 462.4   | 469.1    | -6.749| 249.1 | 0.049 | -20.24| 0.000 | 1.273 | 54.66  | 35.68 |
| THETA | 1.190 | GO      | -896.0 | -756.2   | 288.0  | 284.8    | 465.6   | 472.3    | -6.657| 242.4 | 0.092 | -19.97| 0.000 | 2.364 | 52.82  | 35.21 |
| THETA | 1.201 | GO      | -896.0 | -1580.1  | 278.0  | 267.1    | 468.8   | 475.3    | -6.479| 235.9 | 0.178 | -19.43| 0.000 | 4.561 | 50.98  | 36.10 |
| THETA | 1.212 | GO      | -896.0 | -486.4   | 268.0  | 261.7    | 471.9   | 478.2    | -6.352| 229.6 | 0.126 | -19.05| 0.000 | 3.235 | 49.14  | 33.32 |
| THETA | 1.219 | GO      | -896.0 | -111.8   | 262.2  | 260.9    | 473.6   | 479.9    | -6.325| 223.3 | 0.026 | -18.97| 0.000 | 0.686 | 48.08  | 29.78 |
| THETA | 1.230 | GO      | -896.0 | -592.0   | 252.1  | 254.3    | 476.5   | 482.8    | -6.294| 217.0 | 0.031 | -18.88| 0.000 | 0.814 | 46.24  | 28.17 |
| THETA | 1.241 | GO      | -896.0 | -1217.7  | 242.1  | 240.7    | 479.2   | 485.4    | -6.222| 210.7 | 0.071 | -18.66| 0.000 | 1.832 | 44.40  | 27.57 |
| THETA | 1.248 | GO      | -896.0 | -1582.8  | 236.3  | 230.4    | 480.8   | 486.9    | -6.165| 204.6 | 0.057 | -18.49| 0.000 | 1.461 | 43.33  | 26.30 |
| THETA | 1.259 | GO      | -896.0 | -1047.1  | 226.3  | 218.7    | 483.4   | 489.4    | -6.024| 198.5 | 0.140 | -18.07| 0.000 | 3.608 | 41.49  | 27.03 |
| THETA | 1.270 | GO      | -896.0 | -792.4   | 216.6  | 210.1    | 485.8   | 491.7    | -5.902| 192.6 | 0.122 | -17.70| 0.000 | 3.126 | 39.72  | 25.14 |
| THETA | 1.280 | GO      | -896.0 | -1673.7  | 206.9  | 192.0    | 488.1   | 493.7    | -5.689| 187.0 | 0.213 | -17.06| 0.000 | 5.454 | 37.94  | 26.33 |
| THETA | 1.291 | GO      | -896.0 | -648.6   | 197.1  | 185.0    | 490.3   | 495.8    | -5.503| 181.5 | 0.185 | -16.51| 0.000 | 4.747 | 36.15  | 24.39 |
| THETA | 1.298 | GO      | -896.0 | -2225.5  | 191.3  | 170.5    | 491.5   | 496.9    | -5.349| 176.1 | 0.153 | -16.04| 0.000 | 3.942 | 35.08  | 22.98 |
| THETA | 1.309 | GO      | -896.0 | 1017.8   | 181.6  | 181.6    | 493.5   | 498.8    | -5.296| 170.8 | 0.053 | -15.88| 0.000 | 1.361 | 33.30  | 18.77 |
| THETA | 1.319 | GO      | -896.0 | -1034.8  | 171.9  | 170.3    | 495.5   | 500.7    | -5.226| 165.6 | 0.069 | -15.68| 0.000 | 1.779 | 31.52  | 17.62 |
| THETA | 1.330 | GO      | -896.0 | -853.3   | 162.1  | 161.1    | 497.3   | 502.4    | -5.162| 160.4 | 0.064 | -15.48| 0.000 | 1.658 | 29.73  | 15.90 |
| THETA | 1.341 | GO      | -896.0 | -1417.3  | 152.4  | 145.7    | 499.0   | 504.0    | -5.036| 155.4 | 0.125 | -15.10| 0.000 | 3.222 | 27.95  | 16.06 |
| THETA | 1.348 | GO      | -896.0 | -3046.5  | 146.6  | 125.8    | 500.0   | 504.8    | -4.881| 150.5 | 0.154 | -14.64| 0.000 | 3.960 | 26.88  | 16.19 |
| THETA | 1.359 | GO      | -896.0 | -175.2   | 136.8  | 123.9    | 501.5   | 506.2    | -4.688| 145.8 | 0.193 | -14.06| 0.000 | 4.947 | 25.10  | 15.98 |
| THETA | 1.369 | GO      | -896.0 | -913.4   | 127.1  | 114.0    | 502.9   | 507.4    | -4.492| 141.3 | 0.195 | -13.47| 0.000 | 5.002 | 23.31  | 14.84 |
| THETA | 1.380 | GO      | -896.0 | -494.5   | 117.4  | 108.6    | 504.3   | 508.6    | -4.344| 137.0 | 0.148 | -13.03| 0.000 | 3.803 | 21.53  | 12.30 |
